year,date,cpi
1997,1997 Jan,113.3
1997,1997 Feb,113.1
1997,1997 Mar,111.2
1997,1997 Apr,110
1997,1997 May,109.9
1997,1997 Jun,112.3
1997,1997 Jul,111.4
1997,1997 Aug,112.5
1997,1997 Sep,113.9
1997,1997 Oct,111.5
1997,1997 Nov,110.7
1997,1997 Dec,108.4
1998,1998 Jan,105.9
1998,1998 Feb,103.2
1998,1998 Mar,101.6
1998,1998 Apr,101.9
1998,1998 May,103.8
1998,1998 Jun,105.7
1998,1998 Jul,105.2
1998,1998 Aug,103.8
1998,1998 Sep,102.7
1998,1998 Oct,101.3
1998,1998 Nov,100.5
1998,1998 Dec,98.9
1999,1999 Jan,98.1
1999,1999 Feb,97.3
1999,1999 Mar,98.4
1999,1999 Apr,105
1999,1999 May,105.6
1999,1999 Jun,106.8
1999,1999 Jul,108.7
1999,1999 Aug,111.3
1999,1999 Sep,113.2
1999,1999 Oct,111.6
1999,1999 Nov,111.2
1999,1999 Dec,112.2
2000,2000 Jan,112.5
2000,2000 Feb,116.7
2000,2000 Mar,122.2
2000,2000 Apr,120.7
2000,2000 May,121
2000,2000 Jun,129.6
2000,2000 Jul,129.7
2000,2000 Aug,125.9
2000,2000 Sep,130.6
2000,2000 Oct,129.3
2000,2000 Nov,129
2000,2000 Dec,128.1
2001,2001 Jan,132.5
2001,2001 Feb,132
2001,2001 Mar,129.5
2001,2001 Apr,133.1
2001,2001 May,140.1
2001,2001 Jun,140.5
2001,2001 Jul,132.4
2001,2001 Aug,129.4
2001,2001 Sep,132.5
2001,2001 Oct,122.1
2001,2001 Nov,116
2001,2001 Dec,111.4
2002,2002 Jan,111.7
2002,2002 Feb,111
2002,2002 Mar,115.6
2002,2002 Apr,122.2
2002,2002 May,122.9
2002,2002 Jun,124.9
2002,2002 Jul,125.5
2002,2002 Aug,125.8
2002,2002 Sep,126.1
2002,2002 Oct,125.8
2002,2002 Nov,125.3
2002,2002 Dec,123.3
2003,2003 Jan,127.5
2003,2003 Feb,135.4
2003,2003 Mar,142.6
2003,2003 Apr,138.1
2003,2003 May,134
2003,2003 Jun,136.5
2003,2003 Jul,136.8
2003,2003 Aug,140.6
2003,2003 Sep,144.6
2003,2003 Oct,136.9
2003,2003 Nov,133.1
2003,2003 Dec,131.8
2004,2004 Jan,137.4
2004,2004 Feb,140.6
2004,2004 Mar,143.1
2004,2004 Apr,145.9
2004,2004 May,154.1
2004,2004 Jun,159.7
2004,2004 Jul,156.3
2004,2004 Aug,155.3
2004,2004 Sep,154.3
2004,2004 Oct,157.7
2004,2004 Nov,158.6
2004,2004 Dec,153.7
2005,2005 Jan,151.9
2005,2005 Feb,155.2
2005,2005 Mar,160.8
2005,2005 Apr,170.9
2005,2005 May,169.4
2005,2005 Jun,171.4
2005,2005 Jul,178.5
2005,2005 Aug,186.6
2005,2005 Sep,208
2005,2005 Oct,204.3
2005,2005 Nov,187.6
2005,2005 Dec,180
2006,2006 Jan,189.5
2006,2006 Feb,186.4
2006,2006 Mar,188.6
2006,2006 Apr,201.4
2006,2006 May,209.3
2006,2006 Jun,211.3
2006,2006 Jul,215.1
2006,2006 Aug,214.7
2006,2006 Sep,199.1
2006,2006 Oct,181.3
2006,2006 Nov,180.4
2006,2006 Dec,185.2
2007,2007 Jan,183.567
2007,2007 Feb,184.451
2007,2007 Mar,196.929
2007,2007 Apr,207.265
2007,2007 May,219.071
2007,2007 Jun,221.088
2007,2007 Jul,217.274
2007,2007 Aug,209.294
2007,2007 Sep,209.637
2007,2007 Oct,207.588
2007,2007 Nov,219.009
2007,2007 Dec,217.506
2008,2008 Jan,219.465
2008,2008 Feb,219.311
2008,2008 Mar,230.505
2008,2008 Apr,240.194
2008,2008 May,257.106
2008,2008 Jun,275.621
2008,2008 Jul,280.833
2008,2008 Aug,266.283
2008,2008 Sep,258.02
2008,2008 Oct,231.561
2008,2008 Nov,189.938
2008,2008 Dec,171.158
2009,2009 Jan,174.622
2009,2009 Feb,178.741
2009,2009 Mar,177.454
2009,2009 Apr,179.704
2009,2009 May,186.909
2009,2009 Jun,205.408
2009,2009 Jul,201.938
2009,2009 Aug,204.971
2009,2009 Sep,202.243
2009,2009 Oct,199.198
2009,2009 Nov,204.026
2009,2009 Dec,202.301
2010,2010 Jan,208.026
2010,2010 Feb,204.455
2010,2010 Mar,209.999
2010,2010 Apr,212.977
2010,2010 May,214.363
2010,2010 Jun,211.66
2010,2010 Jul,212.372
2010,2010 Aug,212.663
2010,2010 Sep,210.003
2010,2010 Oct,210.947
2010,2010 Nov,211.97
2010,2010 Dec,217.953
2011,2011 Jan,223.266
2011,2011 Feb,226.86
2011,2011 Mar,242.516
2011,2011 Apr,253.495
2011,2011 May,260.376
2011,2011 Jun,254.17
2011,2011 Jul,252.661
2011,2011 Aug,251.706
2011,2011 Sep,250.48
2011,2011 Oct,240.902
2011,2011 Nov,238.177
2011,2011 Dec,232.3
2012,2012 Jan,236.942
2012,2012 Feb,242.663
2012,2012 Mar,253.599
2012,2012 Apr,255.736
2012,2012 May,250.306
2012,2012 Jun,244.167
2012,2012 Jul,239.972
2012,2012 Aug,250.306
2012,2012 Sep,256.332
2012,2012 Oct,250.523
2012,2012 Nov,238.946
2012,2012 Dec,233.473
2013,2013 Jan,234.624
2013,2013 Feb,248.146
2013,2013 Mar,249.565
2013,2013 Apr,244.757
2013,2013 May,247.805
2013,2013 Jun,251.921
2013,2013 Jul,251.37
2013,2013 Aug,250.011
2013,2013 Sep,248.513
2013,2013 Oct,238.524
2013,2013 Nov,233.136
2013,2013 Dec,234.542
2014,2014 Jan,239.551
2014,2014 Feb,242.041
2014,2014 Mar,250.543
2014,2014 Apr,252.717
2014,2014 May,255.982
2014,2014 Jun,259.858
2014,2014 Jul,257.907
2014,2014 Aug,250.951
2014,2014 Sep,247.077
2014,2014 Oct,234.745
2014,2014 Nov,221.844
2014,2014 Dec,209.785
2015,2015 Jan,192.619
2015,2015 Feb,196.597
2015,2015 Mar,204.731
2015,2015 Apr,203.715
2015,2015 May,214.33
2015,2015 Jun,220.861
2015,2015 Jul,219.852
2015,2015 Aug,213.248
2015,2015 Sep,201.641
2015,2015 Oct,194.501
2015,2015 Nov,189.267
2015,2015 Dec,183.378
2016,2016 Jan,180.171
2016,2016 Feb,172.061
2016,2016 Mar,179.017
2016,2016 Apr,185.652
2016,2016 May,192.673
2016,2016 Jun,200.035
2016,2016 Jul,195.94
2016,2016 Aug,193.524
2016,2016 Sep,195.852
2016,2016 Oct,194.786
2016,2016 Nov,191.402
2016,2016 Dec,193.306
2017,2017 Jan,199.608
2017,2017 Feb,198.195
2017,2017 Mar,198.597
2017,2017 Apr,202.869
2017,2017 May,203.132
2017,2017 Jun,204.646
2017,2017 Jul,202.554
2017,2017 Aug,205.894
2017,2017 Sep,215.711
2017,2017 Oct,207.29
2017,2017 Nov,209.383
2017,2017 Dec,206.598
2018,2018 Jan,210.663
2018,2018 Feb,213.519
2018,2018 Mar,212.554
2018,2018 Apr,218.83
2018,2018 May,226.81
2018,2018 Jun,229.137
2018,2018 Jul,227.107
2018,2018 Aug,226.939
2018,2018 Sep,226.165
2018,2018 Oct,225.757
2018,2018 Nov,215.91
2018,2018 Dec,205.905
2019,2019 Jan,200.563
2019,2019 Feb,202.74
2019,2019 Mar,211.724
2019,2019 Apr,222.499
2019,2019 May,225.773
2019,2019 Jun,221.373
2019,2019 Jul,222.492
2019,2019 Aug,216.978
2019,2019 Sep,215.418
2019,2019 Oct,216.351
2019,2019 Nov,214.636
2019,2019 Dec,212.982
2020,2020 Jan,213.043
2020,2020 Feb,208.354
2020,2020 Mar,199.573
2020,2020 Apr,183.081
2020,2020 May,183.076
2020,2020 Jun,193.379
2020,2020 Jul,197.665
2020,2020 Aug,197.362
2020,2020 Sep,198.858
2020,2020 Oct,196.458
2020,2020 Nov,194.388
2020,2020 Dec,198.155
2021,2021 Jan,205.273
2021,2021 Feb,213.277
2021,2021 Mar,225.861
2021,2021 Apr,229.116
2021,2021 May,235.339
2021,2021 Jun,240.72
2021,2021 Jul,244.8
2021,2021 Aug,246.639
2021,2021 Sep,248.228
2021,2021 Oct,255.338
2021,2021 Nov,259.1
2021,2021 Dec,256.207
2022,2022 Jan,260.653
2022,2022 Feb,267.771
2022,2022 Mar,298.246
2022,2022 Apr,298.469
2022,2022 May,316.761
2022,2022 Jun,340.917
2022,2022 Jul,325.407
2022,2022 Aug,305.372
2022,2022 Sep,297.343
2022,2022 Oct,300.359
2022,2022 Nov,292.953
2022,2022 Dec,274.937
2023,2023 Jan,283.33
2023,2023 Feb,281.673
2023,2023 Mar,279.084